internship_id,title,company,skills,location,category,stipend,duration,education,description
1462,B2B Product Manager Intern,Tata,"Time Management, Python, Flask, NLP, Data Structures, JIRA, Angular, DSA",Coimbatore,Automotive,22303,1 year,BBA,Associate Product Manager Intern: Gain experience working with AI and cutting-edge tech teams.
1463,IoT Product Manager Intern,Microsoft,"Analytical Thinking, JavaScript, PyTorch, DSA, CSS, OpenCV, DSA, OOP",Bhopal,Consulting,71811,4 months,Integrated MSc,"Strategy Product Manager Intern: Learn business strategy, user empathy, and agile execution."
1464,Web Product Manager Intern,Google,"SQLite, DSA, Time Management, Linux, Node.js, C++",Delhi,Consulting,61197,4 months,Integrated MSc,Innovation Product Manager Intern: Build scalable products and solve complex technical challenges.
1465,Web Product Manager Intern,Swiggy,"Bootstrap, C, Testing, MySQL, DSA, NLP, Git, GCP",Jaipur,Consumer Tech,92924,2 months,Bachelor of Engineering,Product Management Intern: Gain experience working with AI and cutting-edge tech teams.
1466,SaaS Product Manager Intern,Johnson Controls,"DSA, Teamwork, GitHub, Python, GraphQL, Mocha, Spring Boot, C++",Jaipur,Hospitality,44937,8 months,Any Postgraduate,"B2B Product Manager Intern: Immerse in a collaborative, diverse and learning environment."
1467,Virtual Classroom PM Intern,EY,"Video Platforms, Collaboration Tools, LMS",Gurugram,Education,66599,4 months,PhD,"Angular Developer Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1468,iOS Developer Intern,Toppr,"Swift, Objective-C, Xcode, UIKit, CoreData, DSA",Indore,E-Commerce,74157,8 months,PGDM,Frontend Developer Intern: Gain experience working with AI and cutting-edge tech teams.
1469,Game Developer Intern,Meta,"Unity, C#, Game Design, 3D Modeling",Ahmedabad,Media,21145,1 year,Undergraduate,API Product Manager Intern: Assist in designing delightful user journeys for education and tech.
1470,Payments Product Manager Intern,Dell,"Java, Docker, GCP, TensorFlow, Deep Learning, DSA, Time Management, Redis",Ahmedabad,Internet,42530,2 months,Bachelor of Science,Database Admin Intern: Collaborate with top-tier mentors and develop PM skillset.
1471,Data Engineer Intern,L&T,"Python, SQL, ETL, Spark, AWS, Data Modeling, Git",Pune,Technology,87286,1 year,BA,DevOps Intern: Present findings to senior stakeholders and PM leadership.
1472,Innovation Product Manager Intern,SAP,"REST APIs, Express, Kotlin, Java, DSA",Mysore,Consumer Tech,12219,12 weeks,Integrated MSc,AR/VR Developer Intern: Build scalable products and solve complex technical challenges.
1473,Operations Product Manager Intern,Zomato,"Java, Selenium, JIRA, Tailwind CSS, DSA, Time Management, Unit Testing",Noida,EdTech,96723,12 weeks,PhD,HR Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
1474,EdTech Product Manager Intern,Intel,"DSA, C, Git, Numerical Methods, Jenkins",Mumbai,Internet,90218,1 year,Any Graduate,"AI Research Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1475,Blockchain Developer Intern,Spotify,"Ethereum, Solidity, Smart Contracts, Git",Kolkata,Logistics,90264,4 months,MCA,Communication PM Intern: Gain experience working with AI and cutting-edge tech teams.
1476,Platform PM Intern,Zerodha,"DSA, Python, Machine Learning, C, Numerical Methods",Noida,EdTech,79184,3 months,Post Graduate,"Web Product Manager Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1477,Instructional Designer Intern,Zerodha,"Course Creation, Educational Design, Assessment, Communication",Coimbatore,Internet,53358,1 year,B. Tech,AR/VR Developer Intern: Drive initiatives and contribute to roadmap decisions.
1478,Learning Experience Designer Intern,IBM,"UX, Learning Psychology, Blended Learning, Analytics",Bangalore,Automotive,92548,8 months,M.Tech,"Python Developer Intern: Immerse in a collaborative, diverse and learning environment."
1479,Mobile App Product Intern,Vedantu,"WebSockets, DSA, Numpy, C, Deep Learning, Java, Shell Scripting",Indore,Entertainment,10616,8 months,MBA,E-Commerce PM Intern: Work on live projects and impact thousands of users.
1480,Strategy Product Manager Intern,Spotify,"JavaScript, Integration Testing, Bitbucket, Sass, Analytical Thinking, DSA, PyTorch, Version Control",Gurugram,SaaS,73223,6 months,Bachelor of Engineering,"Communication PM Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1481,Business Analyst PM Intern,Reliance,"AWS, Jest, DSA, OOP, C++, Docker, Communication, GraphQL",Gurugram,Consumer Tech,64649,4 months,Integrated MSc,HR Product Manager Intern: Assist in designing delightful user journeys for education and tech.
1482,Student Engagement Manager Intern,Intel,"Outreach, Student Success, Analytics, Communication",Mumbai,Healthcare,68696,1 year,BCA,"Angular Developer Intern: Learn business strategy, user empathy, and agile execution."
1483,Assessment Platform PM Intern,PhonePe,"Testing, Evaluation, Data Analytics, Report Writing",Bangalore,Entertainment,96182,8 months,Undergraduate,"Mobile App Developer Intern: Immerse in a collaborative, diverse and learning environment."
1484,Fintech PM Intern,Chegg,"DSA, Python, Bootstrap, C++, Selenium, Spring Boot",Mysore,Media,91345,8 months,Integrated MSc,"Innovation Product Manager Intern: Learn business strategy, user empathy, and agile execution."
1485,Data Science PM Intern,Coursera,"Kubernetes, DSA, Teamwork, Java, Express, Scikit-learn, React",Chennai,Technology,87324,12 weeks,MBA,"Data Science PM Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1486,Growth Strategy PM Intern,Microsoft,"CSS, Leadership, CI/CD, Agile, DSA, C++",Mysore,B2B,45633,3 months,MCA,HR Product Manager Intern: Present findings to senior stakeholders and PM leadership.
1487,Platform Strategy Product Intern,Tech Mahindra,"REST APIs, Node.js, ASP.NET, Keras, JavaScript, DSA, Numerical Methods",Mumbai,SaaS,60982,12 weeks,PGDM,Instructional Designer Intern: Drive initiatives and contribute to roadmap decisions.
1488,AR/VR Developer Intern,MakeMyTrip,"Unity, Unreal Engine, C#, Oculus SDK",Gurugram,Internet,90030,12 weeks,Bachelor of Engineering,"B2B Product Manager Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1489,Angular Developer Intern,Edureka,"Angular, TypeScript, RxJS, SCSS, API Integration, DSA, Git",Gurugram,Entertainment,62650,4 months,MCA,Innovation Product Manager Intern: Gain experience working with AI and cutting-edge tech teams.
1490,Platform PM Intern,Accenture,"JavaScript, Deep Learning, TensorFlow, Kotlin, Angular, DSA, PostgreSQL",Kolkata,Education,64652,8 months,Bachelor of Science,"Digital Product Intern: Learn business strategy, user empathy, and agile execution."
1491,Cybersecurity Intern,Accenture,"Network Security, Python, Penetration Testing, Linux, Firewalls, OWASP, Git",Indore,Healthcare,20830,3 months,Integrated MSc,Angular Developer Intern: Collaborate with top-tier mentors and develop PM skillset.
1492,AI Research PM Intern,Accenture,"Django, GCP, Redis, JavaScript, Angular, DSA",Mysore,EdTech,57827,5 months,BBA,"Platform Strategy Product Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1493,Python Developer Intern,Udemy,"Python, Flask, Django, Pandas, Numpy, DSA, Git",Chennai,Automotive,76092,1 year,BBA,"Android Developer Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1494,Data Engineer Intern,Edureka,"Python, SQL, ETL, Spark, AWS, Data Modeling, Git",Delhi,Education,45079,12 weeks,Any Postgraduate,Software Engineer Intern: Gain experience working with AI and cutting-edge tech teams.
1495,Data Engineer Intern,Johnson Controls,"Python, SQL, ETL, Spark, AWS, Data Modeling, Git",Kolkata,Entertainment,19123,12 weeks,PGDM,Marketplace Product Intern: Build scalable products and solve complex technical challenges.
1496,Learning Experience Designer Intern,Tata,"UX, Learning Psychology, Blended Learning, Analytics",Gurugram,Technology,40262,3 months,Integrated MSc,"Java Developer Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1497,Platform PM Intern,Zerodha,"Microservices, Express, DSA, JavaScript, SQLite, GitHub, Unit Testing",Hyderabad,B2B,91513,5 months,MCA,Game Developer Intern: Collaborate with top-tier mentors and develop PM skillset.
1498,AI Research PM Intern,Adobe,"WebSockets, DSA, Sass, Python, JIRA, C, HTML",Vizag,Media,54496,12 weeks,MCA,IoT Product Manager Intern: Build scalable products and solve complex technical challenges.
1499,Network Engineer Intern,Johnson Controls,"TCP/IP, Routers, Firewalls, Cisco, Linux",Vadodara,EdTech,14341,3 months,Diploma,Logistics PM Intern: Work on live projects and impact thousands of users.
1500,ML Intern,Tech Mahindra,"Python, Scikit-learn, TensorFlow, Pandas, Numpy, ML Algorithms, DSA, Git",Chandigarh,Automotive,44334,5 months,Post Graduate,Payments Product Manager Intern: Present findings to senior stakeholders and PM leadership.
1501,Project Coordinator (PM),Google,"C, DSA, Azure, Numerical Methods, Scikit-learn",Mumbai,Automotive,95676,6 months,Diploma,Marketing Product Manager Intern: Assist in designing delightful user journeys for education and tech.
1502,IoT Product Manager Intern,BYJU’S,"Java, Angular, DSA, Bootstrap, Data Structures, Go, Kubernetes, Keras",Vadodara,SaaS,23924,5 months,BBA,E-Commerce PM Intern: Drive initiatives and contribute to roadmap decisions.
1503,Associate Product Manager Intern,Twitter,"Agile, OOP, DSA, DevOps, Numerical Methods, JavaScript, C++",Chennai,Hospitality,99620,3 months,Post Graduate,Junior PM Intern: Collaborate with top-tier mentors and develop PM skillset.
1504,Python Developer Intern,SAP,"Python, Flask, Django, Pandas, Numpy, DSA, Git",Jaipur,B2B,63775,5 months,BBA,Developer Platform PM Intern: Collaborate with top-tier mentors and develop PM skillset.
1505,API Product Manager Intern,Microsoft,"Git, DSA, C, Agile, Node.js, Numpy, JavaScript",Hyderabad,Education,13210,2 months,Any Graduate,EdTech Platform Intern: Assist in designing delightful user journeys for education and tech.
1506,Project Coordinator (PM),Intel,"Version Control, Leadership, Java, DSA, Kanban, Sass",Delhi,B2B,54458,12 weeks,Post Graduate,Backend Developer Intern: Drive initiatives and contribute to roadmap decisions.
1507,Consumer Product Manager Intern,Zomato,"DSA, DSA, MongoDB, C++, Bitbucket, Agile, Shell Scripting",Vizag,Consumer Tech,86480,1 year,B. Tech,Junior PM Intern: Collaborate with top-tier mentors and develop PM skillset.
1508,Hardware Engineer Intern,Meesho,"PCB Design, Electronics, Circuit Analysis, C",Hyderabad,Consumer Tech,60720,6 months,Integrated MSc,Solution PM Intern: Assist in designing delightful user journeys for education and tech.
1509,Mobile Product Manager Intern,Twitter,"Django, DSA, C++, Jenkins, TypeScript, Agile",Lucknow,Logistics,81657,6 months,Any Postgraduate,"Product Management Intern: Immerse in a collaborative, diverse and learning environment."
1510,EdTech Content Intern,Edureka,"Content Creation, Video Recording, Curriculum Design, Communication",Gurugram,SaaS,95888,6 months,PhD,"Assessment Platform PM Intern: Immerse in a collaborative, diverse and learning environment."
1511,Customer Success PM Intern,SAP,"Java, Analytical Thinking, DSA, TensorFlow, MySQL, Spring Boot",Indore,Data Science,31856,2 months,Any Graduate,Mobile Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
1512,Angular Developer Intern,Siemens,"Angular, TypeScript, RxJS, SCSS, API Integration, DSA, Git",Mumbai,Consumer Tech,53980,3 months,Any Graduate,Java Developer Intern: Collaborate with top-tier mentors and develop PM skillset.
1513,Travel Product Manager Intern,Edureka,"MongoDB, Object-Oriented Programming, C, DSA, R, Teamwork, API Integration, HTML",Vizag,Technology,51933,5 months,Any Graduate,Product Management Intern: Gain experience working with AI and cutting-edge tech teams.
1514,Mobile App Product Intern,Google,"Django, Analytical Thinking, Java, MATLAB, DSA, Problem Solving, Teamwork",Mumbai,FinTech,14364,6 months,Any Graduate,"AR/VR Developer Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1515,IoT Product Manager Intern,Razorpay,"Object-Oriented Programming, DSA, API Integration, WebSockets, C",Mumbai,Internet,32063,5 months,Any Postgraduate,Project Coordinator (PM): Participate in user research and help define next-gen features.
1516,Data Product Manager Intern,Razorpay,"Teamwork, Kotlin, CI/CD, Python, DSA, MongoDB",Vadodara,Education,68753,2 months,MBA,"Mobile Product Manager Intern: Learn business strategy, user empathy, and agile execution."
1517,SaaS Product Manager Intern,LinkedIn,"JavaScript, Java, API Integration, Deep Learning, DSA",Kolkata,Education,13335,6 months,Bachelor of Engineering,"Cybersecurity Intern: Immerse in a collaborative, diverse and learning environment."
1518,Sustainability Product Manager Intern,Edureka,"REST APIs, Git, Python, DSA, C, DSA, MongoDB",Mumbai,Media,97946,5 months,BBA,Mobile App Developer Intern: Collaborate with top-tier mentors and develop PM skillset.
1519,Agile Product Manager Intern,Flipkart,"OOP, JavaScript, Numerical Methods, Numpy, Express, DSA, Mocha",Mysore,Logistics,55782,6 months,BCA,Associate Product Manager Intern: Participate in user research and help define next-gen features.
1520,AI Research PM Intern,IBM,"Flask, C++, DSA, SQLite, MATLAB",Indore,Consumer Tech,77042,6 months,MBA,Growth Strategy PM Intern: Participate in user research and help define next-gen features.
1521,Education Product Manager Intern,Vedantu,"EdTech, Curriculum, Roadmap, Communication",Bangalore,Automotive,22298,8 months,Bachelor of Engineering,EdTech Content Intern: Gain experience working with AI and cutting-edge tech teams.
1522,Customer Insights PM Intern,Infosys,"R, ASP.NET, DSA, Testing, C++, Scikit-learn",Mumbai,FinTech,68125,12 weeks,Any Graduate,EdTech Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
1523,Web Developer Intern,Chegg,"HTML, CSS, JavaScript, Bootstrap, jQuery, REST APIs, Git, DSA",Indore,Data Science,61641,12 weeks,Any Graduate,Cloud Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
1524,Digital Product Intern,Vedantu,"Java, Agile, Teamwork, C, Ruby, DSA, NLP, Time Management",Mumbai,EdTech,10750,2 months,M.Tech,Virtual Classroom PM Intern: Gain experience working with AI and cutting-edge tech teams.
1525,Data Science PM Intern,Unacademy,"Machine Learning, DSA, Bootstrap, Java, Scrum, Bitbucket",Gurugram,Media,17815,3 months,B. Tech,Academic Research PM Intern: Drive initiatives and contribute to roadmap decisions.
1526,Virtual Classroom PM Intern,Wipro,"Video Platforms, Collaboration Tools, LMS",Mysore,FinTech,33062,12 weeks,Any Graduate,Social Impact PM Intern: Gain experience working with AI and cutting-edge tech teams.
1527,Cybersecurity Intern,Netflix,"Network Security, Python, Penetration Testing, Linux, Firewalls, OWASP, Git",Mysore,B2B,91432,5 months,PGDM,Consulting Product Manager Intern: Assist in designing delightful user journeys for education and tech.
1528,Assessment Platform PM Intern,TCS,"Testing, Evaluation, Data Analytics, Report Writing",Nagpur,Logistics,66434,2 months,BA,Web Product Manager Intern: Work on live projects and impact thousands of users.
1529,Assessment Platform PM Intern,L&T,"Testing, Evaluation, Data Analytics, Report Writing",Ahmedabad,Entertainment,40817,4 months,Any Graduate,"EdTech Product Manager Intern: Learn business strategy, user empathy, and agile execution."
1530,Backend Developer Intern,Netflix,"Java, Python, Node.js, Express, SQL, MongoDB, REST APIs, DSA, OOP, Git",Vizag,Consumer Tech,27403,8 months,Any Graduate,Travel Product Manager Intern: Gain experience working with AI and cutting-edge tech teams.
1531,Marketing Product Manager Intern,Siemens,"DSA, Time Management, MATLAB, GitHub, Scikit-learn, C, Sass",Vadodara,Consulting,33167,1 year,Any Graduate,Cybersecurity Intern: Drive initiatives and contribute to roadmap decisions.
1532,Communication PM Intern,Meesho,"C, Kotlin, API Integration, DSA, Kanban, R, Algorithms",Vadodara,Education,24949,5 months,M.Tech,"EdTech Product Manager Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1533,Database Admin Intern,Khan Academy,"MySQL, MongoDB, SQL, Backup, Replication, Git",Mumbai,Technology,12397,8 months,Integrated MSc,Data Engineer Intern: Drive initiatives and contribute to roadmap decisions.
1534,Python Developer Intern,Ola,"Python, Flask, Django, Pandas, Numpy, DSA, Git",Nagpur,SaaS,19022,8 months,Integrated MSc,Strategy Product Manager Intern: Assist in designing delightful user journeys for education and tech.
1535,Platform PM Intern,Swiggy,"Vue.js, Bitbucket, C++, Object-Oriented Programming, Python, Angular, DSA, SQLite",Mumbai,EdTech,85475,3 months,Bachelor of Science,Data Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
1536,Product Management Intern,Zerodha,"Machine Learning, SQL, Java, Bootstrap, DSA, Shell Scripting, REST APIs, GCP",Bangalore,Logistics,11653,5 months,Any Graduate,Operations Product Manager Intern: Present findings to senior stakeholders and PM leadership.
1537,Growth Strategy PM Intern,PhonePe,"API Integration, C, OpenCV, DSA, Machine Learning",Mysore,Technology,20389,4 months,M.Tech,API Product Manager Intern: Build scalable products and solve complex technical challenges.
1538,Education Product Manager Intern,Intel,"EdTech, Curriculum, Roadmap, Communication",Gurugram,Technology,20112,5 months,Integrated MSc,B2B Product Manager Intern: Work on live projects and impact thousands of users.
1539,Blockchain Developer Intern,Tesla,"Ethereum, Solidity, Smart Contracts, Git",Mumbai,Education,49215,1 year,Any Postgraduate,Project Coordinator (PM): Assist in designing delightful user journeys for education and tech.
1540,Web Developer Intern,WhiteHat Jr,"HTML, CSS, JavaScript, Bootstrap, jQuery, REST APIs, Git, DSA",Bhopal,Automotive,44990,4 months,BA,Network Engineer Intern: Present findings to senior stakeholders and PM leadership.
1541,Virtual Classroom PM Intern,KPMG,"Video Platforms, Collaboration Tools, LMS",Lucknow,Entertainment,81006,8 months,M.Tech,Compliance PM Intern: Gain experience working with AI and cutting-edge tech teams.
1542,Research Product Manager Intern,Deloitte,"Mocha, Java, Leadership, Shell Scripting, Scrum, Communication, DSA, Deep Learning",Gurugram,Internet,97957,6 months,Integrated MSc,Platform Strategy Product Intern: Drive initiatives and contribute to roadmap decisions.
1543,Growth Strategy PM Intern,Spotify,"Pandas, Java, JIRA, CSS, DSA",Lucknow,Entertainment,77109,4 months,Any Graduate,Agile Product Manager Intern: Participate in user research and help define next-gen features.
1544,Solution PM Intern,Nvidia,"DSA, Java, Azure, Version Control, Jenkins, Deep Learning, AWS, Redis",Gurugram,Education,33102,3 months,Any Graduate,"Travel Product Manager Intern: Immerse in a collaborative, diverse and learning environment."
1545,Growth Strategy PM Intern,Reliance,"Vue.js, Python, ASP.NET, AWS, DSA, Integration Testing, Time Management",Gurugram,SaaS,54918,12 weeks,M.Tech,Cloud Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
1546,Embedded Systems Intern,EY,"C, C++, Microcontrollers, Arduino, Sensors",Hyderabad,Logistics,47259,5 months,B. Tech,Database Admin Intern: Present findings to senior stakeholders and PM leadership.
1547,Platform Product Intern,IBM,"Problem Solving, Keras, Bootstrap, C, DSA, Integration Testing",Delhi,Media,33836,3 months,Post Graduate,Healthcare PM Intern: Assist in designing delightful user journeys for education and tech.
1548,Full Stack Developer Intern,Infosys,"JavaScript, Node.js, React, HTML, CSS, Express, MongoDB, SQL, DSA, Git",Vadodara,Media,64670,2 months,PhD,Academic Research PM Intern: Gain experience working with AI and cutting-edge tech teams.
1549,Junior PM Intern,HCL,"Docker, HTML, DSA, C, Mocha, GCP",Noida,Technology,41495,1 year,BA,"Hardware Engineer Intern: Immerse in a collaborative, diverse and learning environment."
1550,Web Developer Intern,Johnson Controls,"HTML, CSS, JavaScript, Bootstrap, jQuery, REST APIs, Git, DSA",Nagpur,Internet,15528,8 months,BCA,"Mobile App Developer Intern: Immerse in a collaborative, diverse and learning environment."
1551,Cloud Product Manager Intern,Paytm,"Leadership, DSA, TypeScript, Kotlin, PostgreSQL, C++",Nagpur,B2B,15029,1 year,Diploma,Backend Developer Intern: Work on live projects and impact thousands of users.
1552,Learning Data Analyst Intern,Zomato,"Python, SQL, Data Visualization, EdTech Metrics",Hyderabad,Logistics,95624,4 months,B. Tech,Assessment Platform PM Intern: Collaborate with top-tier mentors and develop PM skillset.
1553,EdTech Platform Intern,Tesla,"LMS, Moodle, EdTech APIs, Course Management",Lucknow,Media,17837,4 months,Undergraduate,Government PM Intern: Drive initiatives and contribute to roadmap decisions.
1554,SaaS Product Manager Intern,Toppr,"DSA, Django, JavaScript, Scrum, Unit Testing",Vadodara,Logistics,58963,5 months,Bachelor of Engineering,DevOps Intern: Work on live projects and impact thousands of users.
1555,Cloud Engineer Intern,Adobe,"AWS, Azure, GCP, Kubernetes, Terraform, Python, Git",Mumbai,Education,99001,4 months,MBA,User Experience PM Intern: Present findings to senior stakeholders and PM leadership.
1556,Operations Product Manager Intern,Tesla,"DSA, Unit Testing, Express, R, JavaScript",Pune,Logistics,47902,3 months,Bachelor of Engineering,Platform PM Intern: Participate in user research and help define next-gen features.
1557,DevOps Intern,Nvidia,"AWS, Docker, Kubernetes, CI/CD, Jenkins, Bash, Linux, Python",Gurugram,E-Commerce,63758,3 months,Any Postgraduate,Education Product Manager Intern: Drive initiatives and contribute to roadmap decisions.
1558,Fintech PM Intern,Accenture,"Keras, DevOps, Git, DSA, Express, OOP, C++",Coimbatore,E-Commerce,28869,2 months,Diploma,"IoT Product Manager Intern: Immerse in a collaborative, diverse and learning environment."
1559,Web Product Manager Intern,Salesforce,"C, Kanban, Bootstrap, Scrum, MongoDB, MATLAB, DSA",Hyderabad,Consumer Tech,65658,1 year,Integrated MSc,Hardware Engineer Intern: Present findings to senior stakeholders and PM leadership.
1560,Entertainment PM Intern,Salesforce,"DSA, OpenCV, C, Express, WebSockets",Noida,Entertainment,88648,8 months,Bachelor of Science,"Growth Product Manager Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1561,Payments Product Manager Intern,Flipkart,"C++, JavaScript, REST APIs, GCP, DSA, Azure, Machine Learning, Integration Testing",Mumbai,Consumer Tech,11637,1 year,BA,"Platform Strategy Product Intern: Learn business strategy, user empathy, and agile execution."
1562,EdTech Product Manager Intern,Swiggy,"Java, Express, Scikit-learn, Agile, DSA",Bhopal,Consumer Tech,14590,2 months,Bachelor of Science,Payments Product Manager Intern: Work on live projects and impact thousands of users.
1563,Agile Product Manager Intern,Razorpay,"C++, DSA, NLP, Algorithms, Bitbucket",Chandigarh,Healthcare,67925,4 months,MBA,"Payments Product Manager Intern: Learn business strategy, user empathy, and agile execution."
1564,EdTech Product Manager Intern,Microsoft,"Python, Analytical Thinking, JIRA, Problem Solving, DSA, Scikit-learn, Object-Oriented Programming, Vue.js",Hyderabad,Logistics,32094,5 months,BCA,EdTech Platform Intern: Gain experience working with AI and cutting-edge tech teams.
1565,AR/VR Developer Intern,WhiteHat Jr,"Unity, Unreal Engine, C#, Oculus SDK",Vizag,Hospitality,78568,1 year,Post Graduate,Healthcare PM Intern: Collaborate with top-tier mentors and develop PM skillset.
1566,Embedded Systems Intern,LinkedIn,"C, C++, Microcontrollers, Arduino, Sensors",Pune,E-Commerce,64438,1 year,B. Tech,Technical Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
1567,Frontend Developer Intern,KPMG,"HTML, CSS, JavaScript, React, Redux, Responsive Design, DSA, Git",Coimbatore,SaaS,49667,8 months,B. Tech,Developer Platform PM Intern: Participate in user research and help define next-gen features.
1568,Government PM Intern,Bharti Airtel,"C++, DSA, DSA, R, SQLite, Django, Deep Learning",Chennai,Healthcare,97354,5 months,Undergraduate,Associate Product Manager Intern: Build scalable products and solve complex technical challenges.
1569,Backend Developer Intern,Meta,"Java, Python, Node.js, Express, SQL, MongoDB, REST APIs, DSA, OOP, Git",Pune,Consulting,93766,3 months,BBA,"UI/UX Designer Intern: Learn business strategy, user empathy, and agile execution."
1570,Consulting Product Manager Intern,BYJU’S,"DSA, Linux, C, Time Management, CI/CD, DSA",Nagpur,Healthcare,82900,8 months,M.Tech,"Government PM Intern: Run analytics, evaluate KPIs, and make data-driven decisions."
1571,EdTech Product Manager Intern,Dell,"GCP, DSA, Deep Learning, JIRA, C++, Keras, Django",Hyderabad,E-Commerce,74373,2 months,BCA,EdTech Product Manager Intern: Present findings to senior stakeholders and PM leadership.
1572,AI Research PM Intern,Vedantu,"DSA, JavaScript, Selenium, Bitbucket, Ruby, Python, DSA, SQLite",Mumbai,E-Commerce,66230,5 months,PGDM,Node.js Developer Intern: Work on live projects and impact thousands of users.
1573,Vue.js Developer Intern,Coursera,"Vue.js, JavaScript, Vuex, HTML5, SCSS, DSA",Gurugram,E-Commerce,85198,1 year,B. Tech,Compliance PM Intern: Gain experience working with AI and cutting-edge tech teams.
1574,Healthcare PM Intern,Swiggy,"Deep Learning, Data Structures, DSA, JavaScript, Scrum, Java, DSA",Mumbai,Internet,79313,5 months,PGDM,Growth Strategy PM Intern: Drive initiatives and contribute to roadmap decisions.
1575,Data Engineer Intern,Netflix,"Python, SQL, ETL, Spark, AWS, Data Modeling, Git",Jaipur,FinTech,16282,3 months,Any Graduate,EdTech Product Manager Intern: Present findings to senior stakeholders and PM leadership.
1576,Learning Experience Designer Intern,IBM,"UX, Learning Psychology, Blended Learning, Analytics",Hyderabad,B2B,45920,1 year,Post Graduate,Technical Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
1577,Communication PM Intern,Cognizant,"JIRA, Leadership, Docker, DSA, Java, Pandas, Version Control",Mumbai,Hospitality,56675,6 months,Any Graduate,Assessment Platform PM Intern: Assist in designing delightful user journeys for education and tech.
1578,Agile Product Manager Intern,Ola,"DSA, HTML, React, Leadership, Java, C++",Noida,Entertainment,83515,5 months,BCA,Mobile Product Manager Intern: Build scalable products and solve complex technical challenges.
1579,Cybersecurity Intern,Coursera,"Network Security, Python, Penetration Testing, Linux, Firewalls, OWASP, Git",Gurugram,FinTech,60617,4 months,MCA,Software Engineer Intern: Work on live projects and impact thousands of users.
1580,HR Product Manager Intern,CRED,"JIRA, Java, DSA, Node.js, Python, PyTorch, SQL",Mumbai,Automotive,49254,2 months,Undergraduate,Cybersecurity Intern: Present findings to senior stakeholders and PM leadership.
1581,Frontend Developer Intern,HCL,"HTML, CSS, JavaScript, React, Redux, Responsive Design, DSA, Git",Jaipur,Entertainment,66835,1 year,BA,Cloud Engineer Intern: Gain experience working with AI and cutting-edge tech teams.
1582,Web Developer Intern,Toppr,"HTML, CSS, JavaScript, Bootstrap, jQuery, REST APIs, Git, DSA",Mumbai,Education,55451,6 months,B. Tech,Full Stack Developer Intern: Collaborate with top-tier mentors and develop PM skillset.
1583,Python Developer Intern,Freshworks,"Python, Flask, Django, Pandas, Numpy, DSA, Git",Coimbatore,SaaS,63753,1 year,Bachelor of Engineering,B2B Product Manager Intern: Work on live projects and impact thousands of users.
1584,Game Developer Intern,Khan Academy,"Unity, C#, Game Design, 3D Modeling",Nagpur,Consulting,51343,12 weeks,PhD,"Logistics PM Intern: Learn business strategy, user empathy, and agile execution."
1585,Operations Product Manager Intern,Johnson Controls,"Numerical Methods, Linux, Python, Problem Solving, Azure, Machine Learning, DSA, Redis",Delhi,E-Commerce,54755,2 months,Post Graduate,Network Engineer Intern: Participate in user research and help define next-gen features.
1586,Payments Product Manager Intern,Chegg,"Docker, DSA, GraphQL, JavaScript, PyTorch, Agile, Java, Bootstrap",Chennai,Healthcare,84871,2 months,BCA,Consumer Product Manager Intern: Present findings to senior stakeholders and PM leadership.
1587,Healthcare PM Intern,Siemens,"MySQL, Bootstrap, GitHub, ASP.NET, Django, DSA, DevOps, JavaScript",Indore,Healthcare,69725,4 months,M.Tech,Mobile Product Manager Intern: Collaborate with top-tier mentors and develop PM skillset.
1588,Product Management Intern,Cognizant,"DSA, Tailwind CSS, PostgreSQL, C++, REST APIs",Bhopal,Automotive,87643,12 weeks,BBA,"Social Impact PM Intern: Immerse in a collaborative, diverse and learning environment."
1589,Logistics PM Intern,Udemy,"Python, Selenium, Version Control, Algorithms, DSA, Time Management",Hyderabad,SaaS,88828,4 months,PhD,HR Product Manager Intern: Build scalable products and solve complex technical challenges.
1590,Technical Product Manager Intern,Ola,"Object-Oriented Programming, Mocha, JavaScript, SQLite, DSA",Nagpur,Entertainment,55296,3 months,PhD,UI/UX Designer Intern: Participate in user research and help define next-gen features.
1591,Embedded Systems Intern,Twitter,"C, C++, Microcontrollers, Arduino, Sensors",Vadodara,EdTech,93069,12 weeks,Any Graduate,E-Commerce PM Intern: Drive initiatives and contribute to roadmap decisions.
